Name,Birth Year,Death Year,Reign Period
Gorm den Gamle,NA,NA,Regent until 958
Harald (1.) Blåtand,NA,NA,958 - 987	
Svend (1.) Tveskæg,NA,NA,987 - 1014	
Harald (2.) Svensen,NA,NA,1014 - 1018	
Knud (2.) den Store,ca. 995,NA,1018 - 1035
Hardeknud (Knud 3.),1020,NA,1035 - 1042
Magnus (1.) den Gode,1024,NA,1042 - 1047
Svend (2.) Estridsen,NA,1076,1047 - 1074	
Harald (3.) Hén,NA,NA,1074 - 1080	
Knud (4.) den Hellige,NA,1086,1080 - 1086
Oluf (1.) Hunger,NA,NA,1086 - 1095	
Erik (1.) Ejegod,ca. 1056,1103,1095 - 1103	
Niels,NA,NA,1104 - 1134	
Erik (2.) Emune,NA,1137,1134 - 1137	
Erik (3.) Lam,NA,NA,1137 - 1146	
Svend (3.) Grathe,NA,NA,1146 - 1157	
Knud (5.) Magnussen,NA,1157,1146 - 1157
Valdemar (1.) den Store,1131,1182,1157 - 1182
Knud 6.,1163,NA,1182 - 1202	
Valdemar (2.) Sejr,1170,NA,1202 - 1241	
Erik (4.) Plovpenning,1216,1250,1241 - 1250
Abel,ca. 1218,NA,1250 - 1252	
Christoffer 1.,ca. 1219,NA,1252 - 1259	
Erik (5.) Klipping,1249,NA,1259 - 1286	
Erik (6.) Menved,1274,1319,1286 - 1319	
Christoffer 2.,1276,NA,1320 - 1326	
Valdemar (3.) Eriksen,ca. 1314,NA,1326 - 1330
Interregnum,NA,NA,1332 - 1340	
Valdemar (4.) Atterdag,ca. 1320,1375,1340 - 1375
Oluf 2.,1370,NA,1376 - 1387	
Margrete 1.,1353,1412,1387-1412	
Erik (7.) af Pommern,ca. 1382,1459,1412 - 1439
Christoffer 3. af Bayern,1416,NA,1440-1448
Valdemar (5),1417,NA,1448 - 1481	
Christian 1.,1426,NA,1448 - 1481	
Hans,1455,1513,1481 - 1513	
Christian 2.,1481,1559,1513 - 1523	
Frederik 1.,1471,NA,1523 - 1533	
Christian 3.,1503,1559,1534 - 1559	
Frederik 2.,1534,1588,1559 - 1588	
Christian 4.,1577,1648,1588 -1648	
Frederik 3.,1609,1670,1648 -1670	
Christian 5.,1646,1699,1670 - 1699	
Frederik 4.,1671,NA,1699 - 1730	
Christian 6.,1699,1746,1730 - 1746	
Frederik 5.,1723,1766,1746 - 1766	
Christian 7.,1749,1808,1766 - 1808	
Frederik 6.,1768,1839,1808 - 1839	
Christian 8.,1786,1848,1839 - 1848	
Frederik 7.,1808,1863,1848 - 1863	
Christian 9.,1818,1906,1863 - 1906	
Frederik 8.,1843,1912,1906 - 1912	
Christian 10.,1870,1947,1912 - 1947	
Frederik 9.,1899,1972,1947 - 1972	
Margrethe 2.,1940,NA,1972-	
