"royal-line__monarch__slider__header__title","carousel__slide__content__container__title","carousel__slide__content__container__text__content","carousel__slide__image__copyright","royal-line__monarch__item__content__image__src src","royal-line__monarch__item__content__period"
"Margrethe 2.","Margrethe 2. (Siden 1972)","Margrethe 2. (16.04.1940- ) Danmarks Dronning siden den 14. januar 1972. Dronning Margrethe 2. er født på Amalienborg som datter af Kong Frederik 9. (d. 1972) og Dronning Ingrid, født Prinsesse af Sverige (d. 2000). Dronningens valgsprog er ""Guds hjælp, Folkets kærlighed, Danmarks styrke"".","Foto: Per Morten Abrahamsen ©","https://www.kongehuset.dk/media/dfgnjchj/dronning_margrethe_2020_medum.jpg","Siden 1972"
"Frederik 9.","Frederik 9. (1947-1972)","Frederik 9. (11.3.1899-14.1.1972), konge af Danmark 1947-72. Frederik 9.s regeringstid var sammenfaldende med opgivelsen af den traditionelle neutralitetspolitik til fordel for NATO-medlemsskabet og den samtidige opbygning af den danske velfærdsstat – begge dele resultat af erfaringerne fra verdenskrigene og 1930rnes kriser. Med sans for tidens krav gennemførte Kongen i takt dermed den nødvendige omstilling af monarkiet fra en fjern, ophøjet institution til et symbolsk udtryk for den standsudjævning og lighedstænkning, der var en følge af moderniseringen.","Foto: Kongernes Samling ©","https://www.kongehuset.dk/media/beykpu4i/frederik-9.jpg","1947 - 1972"
"Christian 10.","Christian 10. (1912-1947)","Christian 10. (26.9.1870-20.4.1947), konge af Danmark 1912-47 og af Island 1918-44. Kongens lange regeringstid indrammedes af de to verdenskrige, der på afgørende punkter ændrede Europas og Danmarks sikkerhedspolitiske situation. Kongen formåede trods kriser at fastholde og udbygge sin position som en nationalt samlende skikkelse, hvilket især fandt synligt udtryk i forbindelse med Genforeningen i 1920 og i de mørke år under den tyske besættelse i 1940-45.","Foto: Kongernes Samling ©","https://www.kongehuset.dk/media/rwjnf3i4/christian-10.jpg","1912-1947"
"Frederik 8.","Frederik 8. (1906-1912)","Frederik 8. (3.6.1843-14.5.1912), konge af Danmark 1906-12. Frederik 8. var 62 år gammel, da han overtog tronen efter sin afdøde fader. Hans regeringstid blev derfor forholdsvis kort, men faldt til gengæld sammen med en kritisk periode i landets historie. Udadtil skulle Danmark forsøge at finde sin plads i den hastigt optrækkende konflikt mellem stormagterne, og indadtil skulle det politiske liv tilpasse sig de nye magtforhold og parlamentariske former efter Systemskiftet i 1901. I begge disse henseender var den demokratisk sindede konge en aktiv og vidende medspiller indtil sin pludselige død i 1912.","Foto: Polfoto ©","https://www.kongehuset.dk/media/x3koxqk2/frederik-8.jpg","1906-1912"
"Christian 9.","Christian 9. (1863-1906)","Christian 9. (8.4.1818-29.1.1906), konge af Danmark 1863-1906, den første konge på den danske trone af den glücksborgske sidelinje af den oldenborgske slægt. Christian 9. tiltrådte regeringen umiddelbart inden krigen og det påfølgende nederlag i 1864, der betød, at Slesvig og Holsten endte med at overgå til preussisk overherredømme. Hans regeringstid faldt sammen med den forbitrede forfatningskamp, som sluttede med, at partiet Venstre dannede regering i 1901. Siden dette såkaldte systemskifte har princippet om folketingsparlamentarisme – dvs. princippet om, at en regering må gå af, hvis den har et flertal i Folketinget imod sig – været gældende. Trods langvarig modstand mod gennemførelse af dette princip udviklede kongen i sine sidste regeringsår et harmonisk samarbejde med de skiftende venstreregeringer.","Foto: Det Nationalhistoriske Museum på Frederiksborg Slot ©","https://www.kongehuset.dk/media/jjrir0vi/christian-9.jpg","1863-1906"
"Frederik 7.","Frederik 7. (1848-1863)","Frederik 7. (6.10.1808-15.11.1863), konge af Danmark 1848-63. Christian 8.s eneste søn, den barnløse Frederik 7., blev den sidste af Frederik 3.s mandsstamme på den danske trone. Kongens regeringstid blev stærkt præget af det voksende modsætningsforhold til Tyskland, som ikke mindst handlede om, hvem der skulle efterfølge ham som monark for Danmark, Slesvig, Holsten og Lauenborg. I eftertiden huskes han især som giveren af Junigrundloven 1849, hvilket allerede i samtiden gav ham tilnavnet ”Frederik Folkekær”. Ved hans død gik tronen efter international overenskomst over til den glücksborgske sidelinje af den oldenborgske slægt.","Foto: Det Nationalhistoriske Museum på Frederiksborg Slot ©","https://www.kongehuset.dk/media/wwvnnvcp/frederik-7.jpg","1848-1863"
"Christian 8.","Christian 8. (1839-1848)","Christian 8. (18.9.1786-20.1.1848), konge af Danmark 1839-48. Frederik 6. efterlod sig ikke mandlige arvinger, og ved hans død gik tronen derfor over til halvfætteren Christian 8. En kort periode i 1814 havde han været konstitutionel konge i et selvstændigt Norge, men vendte hjem, da Norge samme år gik i personalunion med Sverige. Kongen var en begavet skønånd med stor interesse for kunst og videnskab, og han fortsatte sin forgængers reformer af blandt andet landkommunernes og købstædernes administration; men hans korte regeringstid blev stærkt præget af de politiske konflikter, der umiddelbart efter hans død førte til en ny forfatning og den krig, der blev udkæmpet om Slesvig og Holstens tilknytning til kongeriget.","Foto: Det Nationalhistoriske Museum på Frederiksborg Slot ©","https://www.kongehuset.dk/media/25chu2vu/christian-8.jpg","1839-1848"
"Frederik 6.","Frederik 6. (1808-1839)","Frederik 6. (28.1.1768-3.12.1839), konge af Danmark 1808-39 og af Norge 1808-14. Som regerende kronprins og siden konge støttede han en række reformer af blandt andet landbruget, skolevæsenet og fattigforsorgen, og han grundlagde blandt andet det, der nu er universitetet i Oslo. Storpolitisk var det en svær tid. Slaget på Reden 1801, bombardementet af København 1807 og tabet af flåden var svære slag. Også det økonomiske kollaps i 1813 og tabet af Norge 1814 trak dybe spor. Han medvirkede til indførelsen af de rådgivende stænderforsamlinger 1834-35, men levede ikke op til tidens voksende forventninger om mere grundlæggende politiske reformer.","Foto: Det Nationalhistoriske Museum på Frederiksborg Slot ©","https://www.kongehuset.dk/media/h31chqn0/frederik-6_1.jpg","1808-1839"
"Christian 7.","Christian 7. (1766-1808)","Christian 7. (29.1.1749-13.3.1808), konge af Danmark og Norge 1766-1808. Regeringstiden faldt sammen med en af de mest urolige perioder i Europas historie, revolutionstiden og Napoleonskrigene. Hans adfærd og personlighed vakte en mistillid til hans evne som regent, og det medførte at J.F. Struensee havde held til reelt at overtage regeringens førelse i 1770. Efter Struensees fald i 1772 blev magten overtaget af enkedronning Juliane Marie og geheimestatsminister Ove Høegh-Guldberg. Fra 1784 regerede kronprins Frederik (6.) reelt på sin fars vegne.","Foto: Det Nationalhistoriske Museum på Frederiksborg Slot ©","https://www.kongehuset.dk/media/e5ydqhwu/christian-7.jpg","1766-1808"
"Frederik 5.","Frederik 5. (1746-1766)","Frederik 5. (31.3.1723-14.1.1766), konge af Danmark og Norge 1746-66. Kongens regeringstid var – i lighed med faderens – en fredsperiode. Økonomisk var det tillige en fremgangstid, hvilket bl.a. gav sig udtryk i udvidelse af København med Frederiksstaden med de fire Amalienborg-palæer som centrum. Gennem hele regeringen støttede kongen sig til dygtige ministre som overhofmarskal A.G. Moltke og udenrigsminister J.H.E. Bernstorff, der med sikker sans for statens tarv varetog de daglige regeringsforretninger.","Foto: Det Nationalhistoriske Museum på Frederiksborg Slot ©","https://www.kongehuset.dk/media/tv1czpg2/frederik-5.jpg","1746-1766"
